Id,SalePrice
2658,149101.0761167827
2718,136140.20735007263
2414,215167.5066140069
1989,117341.64931126795
625,180826.40124784524
333,99100.47290125869
1327,100149.32704592714
858,163031.8596369325
95,182711.1571369248
1568,166937.61614248375
2482,151561.0195717215
1364,125703.91394428948
2584,141807.12339101319
818,280776.38964182755
2673,140076.98054353648
2089,108779.91119446018
1297,130099.55942253208
790,114108.19247934653
2616,197231.37105643988
720,207774.13862834216
222,159877.2118420219
557,121483.92941786966
1148,199915.80563164345
2766,165272.05456401294
534,184431.44863451173
1452,121006.13050245361
630,141930.65356906055
2648,123381.09799571177
125,146176.87384690673
1904,84213.7520356922
1670,107117.23154164224
756,96057.71899110737
717,237069.4459981918
1032,170715.8837740948
852,225374.65779190094
1731,163735.63275211555
2639,123794.63320194386
2071,86698.13645467657
1267,105384.69335282294
1851,181803.70929020908
567,161298.82447292638
2439,207506.28618255944
1898,141656.52599459272
647,175178.21694574016
2256,236547.17641721191
979,96993.56118441798
1444,221705.6059905921
2485,113276.60861536169
157,129063.7439497225
88,116697.92777672756
2003,103926.91968815387
186,206733.25290067293
1425,232098.355799614
2695,125400.69291031046
738,95656.97230496653
395,157006.50792778016
1353,153324.24759752874
1878,138723.21262602264
390,161931.0207520208
1456,236424.95334396305
1103,326060.3294283797
1387,110772.69356816381
2070,146412.979715454
1199,177929.40620012544
2479,170945.1970511838
501,336281.05804287567
2362,100614.78896946479
1718,204721.3978422772
2188,68355.88666617693
1483,150457.7836846083
2557,81468.90225567437
437,362997.5235596495
2224,186592.9349204135
1628,172929.77804080024
397,141716.1378511559
587,204032.18164587728
971,156004.11379912018
2611,136141.27381198236
1887,107671.16032294289
2399,356369.3527768054
2148,194594.5397629335
304,130746.18967035119
1997,128350.07618573452
2817,117427.57506267526
1431,196930.15115693817
427,358183.5084470889
263,121290.02094724354
598,181779.68924463502
2895,246350.69872679183
687,118443.86608535987
1822,135352.70996166364
2191,106759.3848264355
179,112446.60995269779
1009,201133.98181194803
2010,124373.3045862788
1991,132078.8681799245
1411,180611.81994455215
1721,233930.68649117427
1144,187238.16164695314
593,216642.17854790908
575,335166.44657740707
1249,173690.18318333244
1604,117952.31299063834
1064,507585.88474148884
1923,155213.78973675967
1988,110636.43792318359
2325,167939.8546964517
114,203795.01234965472
2700,157851.90700179597
217,113471.43285042541
343,172390.10410862963
386,233348.25886826264
2005,101793.54217731766
2908,138095.65467950504
1814,239709.3081780686
2446,496417.049368083
208,149451.25754454813
1679,101089.64980980063
822,317358.89682067675
6,186992.88612728723
1781,400420.89212472236
2397,293501.45507631614
2340,316856.9788105907
1618,174644.04308583238
2843,124591.47007072798
1061,365270.24615678436
2786,122250.97411678026
1935,133971.25847794634
1341,123451.06979814815
521,260415.86060256785
2136,143512.4180986525
996,202955.83237496635
227,155262.9301098063
135,175538.54824343216
1167,155374.44162261143
294,222364.631610211
1776,205538.1437279894
540,157326.93916484772
1717,227083.9513900343
2303,129703.96503655566
116,196373.38729764696
127,135872.88767533933
1371,134560.78583473334
1014,154510.43957394792
1507,107911.12367802236
702,119842.72382777161
750,139528.6361914915
261,144639.96281520577
1559,74046.79849452508
577,246932.87250262636
2812,197405.40901050734
2080,150856.09016614442
1368,120064.9691466647
2376,121479.95205207016
659,120287.13425141084
1235,140432.05507529117
332,74042.19397213239
1917,138316.62295216753
2094,265349.84418350854
1460,270828.53925437806
1471,215439.7669021253
1509,123944.73353776746
1922,134828.61341130576
433,508857.1905737838
460,258232.98825524203
1116,225809.95836353872
1137,155114.8565321942
53,162109.12558531406
2354,273624.75921668357
1475,192857.84224973584
1761,574878.5441511128
842,133453.46842899348
2739,141414.87082184287
2509,137352.98085716844
1007,201166.741000025
2610,188816.52346723666
1952,88451.32454291644
2719,136491.55666477486
2921,93942.23777168391
1966,140071.09996126324
292,107478.39405119015
1204,175039.44883257977
1829,291517.7026630421
2419,178524.6576705497
391,161550.94115504203
798,112226.36975268608
481,196855.86867297348
